0,2020 NISSAN,PATHFINDER,SL Sport Utility 4D ,"V6, 3.5 Liter",20 City / 27 Hwy,Gray,Black,"Automatic, Xtronic CVT",4 Door SUV,2,"$25,990"," 13,152 miles"
1,2015 VOLKSWAGEN,PASSAT,1.8T SE Sedan 4D,"4-Cyl, Turbo, 1.8 Liter",24 City / 36 Hwy,Gray,Black,"Auto, 6-Spd Tiptronic Spt",4 Door Sedan,2,"$13,590","75,623 miles"
2,2018 SUBARU,CROSSTREK,2.0i Premium Sport Utility 4D,"4-Cyl, PZEV, 2.0 Liter",27 City / 33 Hwy,Blue,Gray,"Auto, CVT W/Lineartronic",4 Door SUV,2,"$21,590","32,020 miles"
3,2015 MAZDA,MAZDA6,i Touring Sedan 4D,4Cyl PZEV SKYACTIV-G 2.5L,28 City / 40 Hwy,Black,Black,"Auto, 6-Spd SKYACTIV Man",4 Door Sedan,1,"$16,590","33,500 miles"
4,2017 INFINITI,QX50,Sport Utility 4D,"V6, 3.7 Liter",17 City / 24 Hwy,Black,Wheat,"Auto, 7-Spd Rev Matching",4 Door SUV,1,"$20,990","43,337 miles"
5,2018 TOYOTA,PRIUS,Two Eco Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",58 City / 53 Hwy,Gray,Black,"Automatic, ECVT",4 Door Hatchback,1,"$18,990","43,897 miles"
6,2011 MINI,COUNTRYMAN,Cooper S ALL4 Hatchback 4D,"4-Cyl, Turbo, 1.6 Liter",23 City / 30 Hwy,Silver,Red/Carbon Black Clth Lth,"Auto, 6-Spd Steptronic",4 Door Hatchback,1,"$14,590","68,140 miles"
7,2019 TOYOTA,CAMRY HYBRID,SE Sedan 4D,"4-Cyl, Hybrid, 2.5 Liter",44 City / 47 Hwy,White,Gray,"Automatic, ECVT",4 Door Sedan,1,"$25,590","19,106 miles"
8,2015 HYUNDAI,GENESIS,5.0 Sedan 4D,"V8, 5.0 Liter",15 City / 23 Hwy,White,Black,"Auto, 8-Spd Shiftronic",4 Door Sedan,1,"$23,990","771,617 miles"
9,2018 BUICK,ENVISION,Essence Sport Utility 4D,"4-Cyl, 2.5 Liter",22 City / 29 Hwy,White,Ebony,"Auto, 6-Spd W/DSC",4 Door SUV,1,"$21,990","35,530 miles"
10,2019 MINI,HARDTOP 2 DOOR,Cooper Hatchback 2D,"3-Cyl, Turbo, 1.5 Liter",27 City / 35 Hwy,White,Carbon Black,"Automatic, 6-Spd W/Steptronic",2 Door Hatchback,2,"$20,990","8,328 miles"
11,2019 AUDI,A3,Premium Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",26 City / 35 Hwy,Gray,Black,"Automatic, 7-Spd W/Dual-Clutch & S Tronic",4 Door Sedan,2,"$25,990","12,190 miles"
12,2015 NISSAN,XTERRA,S Sport Utility 4D,"V6, 4.0 Liter",16 City / 22 Hwy,Gray,Dk. Gray,"Automatic, 5-Spd",4 Door SUV,2,"$18,990","48,866 miles"
13,2019 VOLKSWAGEN,TIGUAN,2.0T S Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 29 Hwy,Blue,Gray,"Automatic, 8-Spd W/Tiptronic & Sport Mode",4 Door SUV,1,"$19,990","19,953 miles"
14,2014 LINCOLN,MKZ,Hybrid Sedan 4D,"4-Cyl, Hybrid, 2.0 Liter",38 City / 37 Hwy,Beige,Beige,"Automatic, CVT",4 Door Sedan,2,"$17,990","43,470 miles"
15,2014 BMW,5 SERIES,550i Sedan 4D,"V8, Twin Turbo, 4.4 Liter",17 City / 25 Hwy,Gray,Black,"Auto, 8-Spd Spt Manual",4 Door Sedan,1,"$24,990","70,982 miles"
16,2019 MITSUBISHI,ECLIPSE CROSS,ES Sport Utility 4D,"4-Cyl, Turbo, 1.5 Liter",25 City / 28 Hwy,Gray,Black,"Automatic, CVT W/Sport Mode",4 Door SUV,1,"$16,590","36,117 miles"
17,2019 VOLKSWAGEN,ATLAS,SE 4Motion w/Tech Pkg Sport Utility 4D,"V6, 3.6 Liter",17 City / 23 Hwy,Blue,Black,"Automatic, 8-Spd & Tiptronic",4 Door SUV,1,"$30,590","24,199 miles"
18,2017 FORD,C-MAX HYBRID,SE Wagon 4D,"4-Cyl, Hybrid, 2.0 Liter",42 City / 38 Hwy,Blue,Charcoal Black Cloth Seats,"Automatic, ECVT",4 Door Wagon,1,"$14,990","42,924 miles"
19,2013 TOYOTA,AVALON,XLE Sedan 4D,"V6, 3.5 Liter",21 City / 31 Hwy,Black,Black,"Auto, 6-Spd Seq Shft",4 Door Sedan,1,"$17,990","31,444 miles"
20,2017 NISSAN,VERSA NOTE,SV Hatchback 4D,"4-Cyl, 1.6 Liter",31 City / 39 Hwy,Red,Black,"Auto, CVT W/Xtronic",4 Door Hatchback,1,"$13,990","14,509 miles"
21,2013 HYUNDAI,GENESIS,5.0 R-Spec Sedan 4D,"V8, 5.0 Liter",16 City / 25 Hwy,White,Black,"Auto, 8-Spd W/Shfttrnc",4 Door Sedan,1,"$15,990","74,639 miles"
22,2012 CADILLAC,CTS,3.6 Sedan 4D,"V6, DI, 3.6 Liter",18 City / 27 Hwy,Gray,Light Titanium/Ebony,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$12,990","104,700 miles"
23,2013 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 39 Hwy,Gray,Black,"Automatic, 5-Spd",4 Door Sedan,1,"$11,590","93,409 miles"
24,2013 HONDA,CIVIC,LX Coupe 2D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 39 Hwy,Blue,Gray,"Automatic, 5-Spd",2 Door Coupe,1,"$11,590","74,544 miles"
25,2013 FORD,C-MAX HYBRID,SE Wagon 4D,"4-Cyl, Hybrid, 2.0 Liter",42 City / 37 Hwy,Silver,Med Light Stone Cloth Seats,"Automatic, CVT",4 Door Wagon,1,"$10,990","82,446 miles"
26,2013 FORD,ESCAPE,SEL Sport Utility 4D,"4-Cyl, EcoBoost, 1.6L",23 City / 33 Hwy,Gray,Med Light Stone Leather Sea,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$11,990","98,645 miles"
27,2020 SUBARU,OUTBACK,Onyx Edition XT Wagon 4D,"4-Cyl, Turbo, 2.4 Liter",23 City / 30 Hwy,Blue,Gray,"Automatic, CVT W/Lineartronic",4 Door Wagon,2,"$33,990","8,437 miles"
28,2014 CHEVROLET,CAMARO,SS Convertible 2D,"V8, 6.2 Liter",15 City / 24 Hwy,Silver,Black,"Auto, 6-Spd W/TAPshift",2 Door Convertible,2,"$24,990","44,282 miles"
29,2011 MERCEDES-BENZ,E-CLASS,E 350 Sedan 4D,"V6, 3.5 Liter",17 City / 24 Hwy,Silver,Beige,"Auto, 7-Spd Touch Shift",4 Door Sedan,1,"$14,990","93,550 miles"
30,2017 ALFA ROMEO,GIULIA,Ti Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 31 Hwy,Gray,Black Accent Stitching Interior Colors,"Automatic, 8-Spd",4 Door Sedan,1,"$29,990","20,005 miles"
31,2016 CHEVROLET,MALIBU,LT Sedan 4D,"4-Cyl, Turbo, 1.5 Liter",27 City / 37 Hwy,Black,Brown,"Automatic, 6-Spd",4 Door Sedan,1,"$13,990","103,533 miles"
32,2012 HYUNDAI,TUCSON,GLS Sport Utility 4D,"4-Cyl, 2.4 Liter",21 City / 30 Hwy,White,Lt. Brown,Auto 6-Spd W/OD & Shftrnc,4 Door SUV,1,"$12,990","72,978 miles"
33,2012 NISSAN,ALTIMA,3.5 SR Sedan 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Gray,Black,"Automatic, CVT",4 Door Sedan,1,"$12,590","61,556 miles"
34,2012 HONDA,ACCORD,SE Sedan 4D,"4-Cyl, VTEC, 2.4 Liter",23 City / 34 Hwy,Silver,Black,"Automatic, 5-Spd",4 Door Sedan,1,"$13,590","74,211 miles"
35,2013 MERCEDES-BENZ,M-CLASS,ML 350 4MATIC Sport Utility 4D,"V6, 3.5 Liter",18 City / 23 Hwy,Silver,Gray,"Auto, 7-Spd Manual Mode",4 Door SUV,1,"$20,990","96,545 miles"
36,2013 HYUNDAI,VELOSTER,Coupe 3D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Auto, 6-Spd EcoShft DCT",3 Door Coupe,1,"$12,590","63,201 miles"
37,2016 VOLKSWAGEN,JETTA,1.8T Sport Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 36 Hwy,Black,Black,"Manual, 5-Spd",4 Door Sedan,1,"$12,590","91,931 miles"
